Mass	Radius	phi	Temp	Rho	Pres	Lumi	H1	He4	He3	C12	C13	N14	N15	O16	O17	O18	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni
1.32e-05	0.005	5.000971206390586	15430000.0	148.6	2.296e+17	0.00011	0.36298	0.6210600000000001	9.258999999999999e-06	8.385e-06	1.906e-06	0.004065	8.283e-08	0.006409999999999999	0.0003681	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.15e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
1.76e-05	0.0055	5.000693751845132	15430000.0	148.6	2.295e+17	0.00015	0.36313	0.6209100000000001	9.272e-06	8.384e-06	1.906e-06	0.004065	8.283e-08	0.006411	0.0003673	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.15e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
2.2800000000000002e-05	0.006	5.000389963966344	15430000.0	148.5	2.294e+17	0.00018999999999999998	0.3633	0.62074	9.286e-06	8.382e-06	1.906e-06	0.004065	8.283e-08	0.006411	0.0003665	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.15e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
2.8999999999999997e-05	0.0065	5.000060032999875	15430000.0	148.5	2.293e+17	0.00023999999999999998	0.36348	0.62056	9.301e-06	8.379e-06	1.905e-06	0.004065	8.283999999999999e-08	0.006412	0.0003655	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.15e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
3.6200000000000006e-05	0.007	4.9997037414891885	15420000.0	148.4	2.292e+17	0.0003	0.36368	0.62036	9.318e-06	8.377000000000001e-06	1.9040000000000001e-06	0.004065	8.283999999999999e-08	0.006412999999999999	0.0003645	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
4.45e-05	0.0075	4.999321269833859	15420000.0	148.3	2.291e+17	0.00037	0.36388000000000004	0.62015	9.336e-06	8.374e-06	1.9040000000000001e-06	0.004065	8.283999999999999e-08	0.006414	0.0003634	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
5.4000000000000005e-05	0.008	4.998912554556082	15420000.0	148.2	2.29e+17	0.00045	0.36411	0.61993	9.355e-06	8.372e-06	1.903e-06	0.004065	8.283999999999999e-08	0.006416	0.00036219999999999997	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
6.47e-05	0.0085	4.998477741623556	15420000.0	148.1	2.289e+17	0.00054	0.36435	0.61969	9.375e-06	8.368999999999999e-06	1.903e-06	0.004065	8.283999999999999e-08	0.006417	0.0003609	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
7.68e-05	0.009	4.998016829153992	15410000.0	148.0	2.287e+17	0.00065	0.3646	0.61944	9.396e-06	8.365e-06	1.902e-06	0.004065	8.283999999999999e-08	0.006418000000000001	0.0003596	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
9.03e-05	0.0095	4.9975296536128	15410000.0	147.9	2.286e+17	0.0007599999999999999	0.36486999999999997	0.61917	9.418999999999999e-06	8.362e-06	1.9009999999999999e-06	0.004065	8.285e-08	0.006418999999999999	0.0003582	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.328e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
0.00010520000000000001	0.01	4.997016515108645	15410000.0	147.8	2.285e+17	0.0008900000000000001	0.36515	0.6188899999999999	9.443e-06	8.358999999999999e-06	1.9e-06	0.004065	8.285e-08	0.006421	0.0003568	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.328e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
0.00012179999999999999	0.0105	4.996477324632455	15400000.0	147.7	2.283e+17	0.0010199999999999999	0.36545	0.61859	9.468e-06	8.355e-06	1.8990000000000002e-06	0.004065	8.285e-08	0.006422	0.0003552	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.328e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
0.00014	0.011	4.9959118779579175	15400000.0	147.6	2.281e+17	0.00118	0.36576	0.61829	9.495e-06	8.351e-06	1.8990000000000002e-06	0.004065	8.285e-08	0.006423999999999999	0.00035360000000000003	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.328e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
0.0001598	0.0115	4.995320542364485	15400000.0	147.5	2.28e+17	0.00134	0.36608	0.6179600000000001	9.523e-06	8.347e-06	1.898e-06	0.004065	8.286e-08	0.006425	0.000352	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.328e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
0.0001815	0.012	4.994703358802734	15390000.0	147.3	2.278e+17	0.0015199999999999999	0.36641999999999997	0.61762	9.552000000000001e-06	8.343e-06	1.8969999999999998e-06	0.004065	8.286e-08	0.0064269999999999996	0.0003502	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.00020510000000000003	0.0125	4.994060094636067	15390000.0	147.2	2.276e+17	0.00172	0.36677	0.61727	9.582e-06	8.337999999999999e-06	1.896e-06	0.004065	8.286e-08	0.006428	0.0003485	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.00023050000000000002	0.013	4.9933909583047065	15380000.0	147.1	2.274e+17	0.00193	0.36714	0.6169100000000001	9.614e-06	8.334e-06	1.895e-06	0.004065	8.286e-08	0.00643	0.0003466	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007772	7.13e-06	0.00038730000000000004	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.000258	0.0135	4.992696072508325	15380000.0	146.9	2.272e+17	0.00216	0.36751999999999996	0.61653	9.646e-06	8.329e-06	1.894e-06	0.004065	8.287000000000001e-08	0.006431999999999999	0.00034470000000000003	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007772	7.13e-06	0.00038730000000000004	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.00028760000000000005	0.014	4.99197532630861	15380000.0	146.8	2.27e+17	0.0024100000000000002	0.36791	0.6161300000000001	9.681000000000001e-06	8.324e-06	1.8919999999999998e-06	0.004064	8.287000000000001e-08	0.0064340000000000005	0.0003427	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.0003193	0.0145	4.991228822510896	15370000.0	146.6	2.268e+17	0.00267	0.36832	0.6157199999999999	9.716e-06	8.319e-06	1.891e-06	0.004064	8.287000000000001e-08	0.006436	0.0003407	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.00035329999999999997	0.015	4.990456599892321	15370000.0	146.5	2.266e+17	0.00296	0.36874	0.6153	9.753e-06	8.314e-06	1.89e-06	0.004064	8.287000000000001e-08	0.006437000000000001	0.0003386	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.0003895	0.0155	4.989658737364861	15360000.0	146.3	2.264e+17	0.0032600000000000003	0.36918	0.61487	9.791e-06	8.307999999999999e-06	1.889e-06	0.004064	8.288e-08	0.006439	0.0003364	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.797e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.0004282	0.016	4.988835266330457	15360000.0	146.2	2.262e+17	0.00358	0.36962	0.61442	9.831e-06	8.303e-06	1.8880000000000002e-06	0.004064	8.288e-08	0.006442	0.0003342	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.797e-05	4.02e-06	6.683e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.0004692	0.0165	4.987986248273467	15350000.0	146.0	2.259e+17	0.00392	0.37009000000000003	0.6139600000000001	9.871000000000001e-06	8.297e-06	1.886e-06	0.004064	8.288e-08	0.006444	0.0003319	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.797e-05	4.02e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
0.0005127999999999999	0.017	4.9871117956630595	15350000.0	145.8	2.257e+17	0.00428	0.37056	0.61348	9.913e-06	8.291e-06	1.885e-06	0.004064	8.289e-08	0.0064459999999999995	0.00032960000000000004	1.642e-05	0.001485	3.661e-05	0.0007042000000000001	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.148e-06	7.797e-05	4.02e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.954e-05
0.000559	0.0175	4.98621187051653	15340000.0	145.6	2.254e+17	0.0046700000000000005	0.37105	0.6129899999999999	9.957e-06	8.285e-06	1.884e-06	0.004064	8.289e-08	0.006448000000000001	0.0003273	1.641e-05	0.001485	3.661e-05	0.0007042000000000001	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.148e-06	7.797e-05	4.02e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.954e-05
0.0006077999999999999	0.018	4.985286562504436	15340000.0	145.4	2.252e+17	0.00507	0.37156	0.61249	1e-05	8.279e-06	1.882e-06	0.004064	8.29e-08	0.00645	0.00032480000000000003	1.641e-05	0.001485	3.661e-05	0.0007042000000000001	6.21e-05	0.0007771	7.129e-06	0.00038730000000000004	5.148e-06	7.797e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.954e-05
0.0006594	0.0185	4.9843359155737215	15330000.0	145.2	2.249e+17	0.0055	0.37206999999999996	0.61197	1.005e-05	8.272e-06	1.8809999999999999e-06	0.004063000000000001	8.29e-08	0.006451999999999999	0.0003224	1.641e-05	0.001485	3.661e-05	0.0007042000000000001	6.21e-05	0.0007771	7.129e-06	0.00038730000000000004	5.148e-06	7.797e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.954e-05
0.0007138	0.019	4.983359928794848	15320000.0	145.0	2.246e+17	0.00594	0.3726	0.61144	1.01e-05	8.266e-06	1.8790000000000001e-06	0.004063000000000001	8.29e-08	0.006455	0.00031989999999999997	1.641e-05	0.001485	3.66e-05	0.0007042000000000001	6.21e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.797e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.954e-05
0.0007708999999999999	0.0195	4.9823587698583705	15320000.0	144.8	2.244e+17	0.00642	0.37314	0.6109	1.014e-05	8.259e-06	1.878e-06	0.004063000000000001	8.291e-08	0.006456999999999999	0.0003173	1.641e-05	0.001485	3.66e-05	0.0007042000000000001	6.21e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.797e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.954e-05
0.000831	0.02	4.981332557251533	15310000.0	144.6	2.241e+17	0.0069099999999999995	0.3737	0.61035	1.019e-05	8.252e-06	1.876e-06	0.004063000000000001	8.291e-08	0.006459	0.0003147	1.641e-05	0.001485	3.66e-05	0.0007042000000000001	6.21e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.796e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.972e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.735e-06	7.954e-05
0.0008942	0.0205	4.9802812369808604	15300000.0	144.4	2.238e+17	0.00743	0.37427	0.60978	1.025e-05	8.245e-06	1.875e-06	0.004063000000000001	8.292e-08	0.006462000000000001	0.000312	1.641e-05	0.001485	3.66e-05	0.0007042000000000001	6.209e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.796e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.972e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.735e-06	7.954e-05
0.0009603999999999999	0.021	4.979204847265744	15300000.0	144.2	2.235e+17	0.00797	0.37485	0.6092	1.03e-05	8.238e-06	1.8730000000000001e-06	0.004063000000000001	8.292e-08	0.006464	0.0003093	1.641e-05	0.001485	3.66e-05	0.0007042000000000001	6.209e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.796e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.972e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.0010297000000000001	0.0215	4.978103507202046	15290000.0	144.0	2.232e+17	0.00854	0.37545	0.6086	1.035e-05	8.23e-06	1.871e-06	0.004063000000000001	8.292999999999999e-08	0.0064670000000000005	0.0003066	1.641e-05	0.001484	3.66e-05	0.0007041	6.209e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.796e-05	4.019e-06	6.681e-05	4.3129999999999996e-08	3.327e-06	3.972e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.0011022	0.022	4.9769772934009735	15280000.0	143.8	2.229e+17	0.00914	0.37605	0.608	1.041e-05	8.222999999999999e-06	1.869e-06	0.004063000000000001	8.292999999999999e-08	0.006469	0.0003038	1.641e-05	0.001484	3.66e-05	0.0007041	6.209e-05	0.0007769999999999999	7.127999999999999e-06	0.0003872	5.148e-06	7.796e-05	4.019e-06	6.681e-05	4.3129999999999996e-08	3.327e-06	3.972e-07	1.941e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.0011779000000000002	0.0225	4.97582629620681	15280000.0	143.6	2.226e+17	0.00976	0.37667	0.60738	1.047e-05	8.215e-06	1.8680000000000002e-06	0.004062	8.292999999999999e-08	0.0064719999999999995	0.000301	1.641e-05	0.001484	3.66e-05	0.0007041	6.209e-05	0.0007769999999999999	7.127999999999999e-06	0.0003872	5.148e-06	7.796e-05	4.019e-06	6.681e-05	4.3129999999999996e-08	3.3260000000000004e-06	3.972e-07	1.941e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.001257	0.023	4.974650571825844	15270000.0	143.3	2.222e+17	0.0104	0.37731	0.60674	1.053e-05	8.207000000000001e-06	1.866e-06	0.004062	8.294e-08	0.006474	0.0002982	1.641e-05	0.001484	3.66e-05	0.0007041	6.209e-05	0.0007769999999999999	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.796e-05	4.019e-06	6.681e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.0013394	0.0235	4.9734501887478535	15260000.0	143.1	2.219e+17	0.01108	0.37795	0.6061	1.059e-05	8.199e-06	1.864e-06	0.004062	8.294e-08	0.006476999999999999	0.0002953	1.641e-05	0.001484	3.66e-05	0.0007041	6.209e-05	0.0007769999999999999	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.795e-05	4.019e-06	6.681e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.0014253	0.024	4.972225231246816	15260000.0	142.8	2.216e+17	0.011770000000000001	0.37861	0.60544	1.065e-05	8.191e-06	1.862e-06	0.004062	8.295e-08	0.00648	0.0002924	1.641e-05	0.001484	3.66e-05	0.0007041	6.209e-05	0.0007769999999999999	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.795e-05	4.019e-06	6.681e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.953e-05
0.0015145999999999998	0.0245	4.970975790963688	15250000.0	142.6	2.212e+17	0.0125	0.37928	0.60477	1.071e-05	8.182e-06	1.86e-06	0.004062	8.296e-08	0.006481999999999999	0.0002895	1.641e-05	0.001484	3.66e-05	0.0007041	6.208e-05	0.0007769999999999999	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.795e-05	4.019e-06	6.681e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.952e-05
0.0016076	0.025	4.969701930472226	15240000.0	142.4	2.209e+17	0.01326	0.37995999999999996	0.60409	1.078e-05	8.174e-06	1.858e-06	0.004062	8.296e-08	0.0064849999999999994	0.0002865	1.641e-05	0.001484	3.66e-05	0.000704	6.208e-05	0.0007769	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.795e-05	4.018e-06	6.68e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013460000000000002	3.735e-06	7.952e-05
0.0017042000000000001	0.0255	4.968403680937432	15230000.0	142.1	2.205e+17	0.01404	0.38066	0.60339	1.084e-05	8.165e-06	1.8559999999999999e-06	0.004062	8.297000000000001e-08	0.006488	0.0002835	1.641e-05	0.001484	3.66e-05	0.000704	6.208e-05	0.0007769	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.795e-05	4.018e-06	6.68e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013449999999999998	3.735e-06	7.952e-05
0.0018044	0.026	4.96708116371033	15220000.0	141.8	2.202e+17	0.01485	0.38136	0.60269	1.091e-05	8.156e-06	1.854e-06	0.004061	8.297000000000001e-08	0.006490000000000001	0.00028050000000000004	1.641e-05	0.001484	3.66e-05	0.000704	6.208e-05	0.0007769	7.1270000000000005e-06	0.0003872	5.147000000000001e-06	7.795e-05	4.018e-06	6.68e-05	4.3120000000000005e-08	3.3260000000000004e-06	3.972e-07	1.94e-05	1.418e-05	0.0013449999999999998	3.735e-06	7.952e-05
